timestamp,app,sender,message,activity,is_weekday,action
1693526400,instagram,friend,Check out my new post!,study,1,BLOCK
1693526400,whatsapp,teacher,URGENT: Assignment due tomorrow,study,1,SHOW
1693526400,amazon,promo,50% off electronics - Limited time offer!,study,1,DELAY
1693526400,gmail,professor,Office hours cancelled today,study,1,SHOW
1693526400,slack,study_group,Meeting at 3pm for project,study,1,SHOW
1693526400,tiktok,notification,Your video is ready to post,study,1,BLOCK
1693526400,whatsapp,mom,Call me when free,study,1,SHOW
1693526400,youtube,notification,New video from your favorite channel,study,1,BLOCK
1693526400,slack,manager,Team meeting in 5 mins,work,1,SHOW
1693526400,gmail,colleague,Project update - please review,work,1,SHOW
1693526400,instagram,friend,Lunch today?,work,1,BLOCK
1693526400,teams,client,URGENT: Contract needs signature,work,1,SHOW
1693526400,facebook,notification,You have 3 new friend requests,work,1,BLOCK
1693526400,linkedin,recruiter,Exciting job opportunity,work,1,DELAY
1693526400,outlook,boss,Quarterly review scheduled,work,1,SHOW
1693526400,twitter,notification,Trending topics you missed,work,1,BLOCK
1693526400,telegram,group,Weekend plans discussion,sleep,0,BLOCK
1693526400,whatsapp,emergency_contact,URGENT: Call me back ASAP,sleep,0,SHOW
1693526400,instagram,influencer,Live stream starting now!,sleep,0,BLOCK
1693526400,phone,family,Missed call,sleep,0,SHOW
1693526400,email,newsletter,Daily digest - Top stories,sleep,0,BLOCK
1693526400,slack,coworker,Quick question about work,sleep,0,BLOCK
1693526400,gmail,bank,ALERT: Unusual activity detected,sleep,0,SHOW
1693526400,messages,emergency,Emergency alert: Weather warning,sleep,0,SHOW
1693526400,netflix,notification,New season available!,leisure,1,SHOW
1693526400,spotify,system,Your weekly playlist is ready,leisure,1,SHOW
1693526400,instagram,friend,Check out this meme lol,leisure,1,SHOW
1693526400,gmail,friend,Party this weekend!,leisure,1,SHOW
1693526400,amazon,delivery,Your package has been delivered,leisure,1,SHOW
1693526400,youtube,creator,Live stream starting,leisure,1,SHOW
1693526400,uber_eats,promo,30% off your next order,leisure,1,DELAY
1693526400,whatsapp,best_friend,Movie night tonight?,leisure,1,SHOW
1693526400,whatsapp,teacher,Important: Class cancelled tomorrow,study,1,SHOW
1693526400,instagram,best_friend,Check this out!,study,1,BLOCK
1693526400,gmail,university,URGENT: Registration deadline,study,1,SHOW
1693526400,tiktok,creator,New video posted,study,1,BLOCK
1693526400,phone,doctor,Appointment reminder,study,1,SHOW
1693526400,slack,team,Project deadline reminder,work,1,SHOW
1693526400,facebook,friend,Birthday reminder,work,1,BLOCK
1693526400,teams,boss,URGENT: Client meeting moved,work,1,SHOW
1693526400,youtube,subscription,New tutorial video,work,1,BLOCK
1693526400,gmail,hr,Important: Benefits enrollment,work,1,SHOW
